               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070134,            0.083304,             0.16346,             0.16717,             0.39338,             0.11985,            0.024428,            0.065051,            0.098701,             0.15013,             0.00012,             0.00012,             0.09892
                   1,            0.067459,            0.084563,             0.14041,              0.1985,             0.39824,             0.14115,            0.031246,            0.061543,            0.098476,              0.1362,          0.00024997,          0.00024997,             0.09775
                   2,             0.06925,            0.080638,             0.11699,             0.19531,             0.43571,             0.15403,               0.037,             0.05882,            0.096041,             0.11397,          0.00037979,          0.00037979,             0.09658
                   3,            0.062985,            0.078452,             0.10754,             0.19375,             0.42351,             0.16467,            0.040834,            0.056232,            0.091007,            0.090294,          0.00050938,          0.00050938,            0.095409
                   4,            0.060568,            0.083527,            0.071345,             0.17586,             0.43976,             0.19321,            0.048132,            0.053092,            0.081789,            0.066524,          0.00063861,          0.00063861,            0.094239
                   5,            0.058374,            0.067539,             0.04326,             0.23461,             0.29166,             0.21492,            0.055456,            0.050388,            0.073424,            0.054934,          0.00076739,          0.00076739,            0.093067
                   6,            0.057763,            0.062972,            0.049229,             0.26916,             0.30924,             0.24597,            0.068185,            0.047699,            0.064837,             0.04743,          0.00089562,          0.00089562,            0.091896
                   7,            0.054485,            0.059056,            0.031707,             0.28129,              0.3331,             0.27028,             0.08287,            0.045486,            0.058054,            0.043413,           0.0010232,           0.0010232,            0.090723
                   8,            0.050286,            0.049605,            0.030551,             0.30501,             0.33451,             0.28691,            0.095853,             0.04353,            0.052641,            0.041482,             0.00115,             0.00115,             0.08955
                   9,            0.047459,            0.050811,            0.036386,             0.32835,             0.33767,             0.30676,             0.11137,            0.041772,            0.048589,            0.039709,           0.0012759,           0.0012759,            0.088376
                  10,            0.045229,             0.04441,            0.028846,             0.32721,             0.34469,             0.32375,             0.12561,            0.040679,            0.045997,            0.038397,           0.0014008,           0.0014008,            0.087201
                  11,            0.046326,            0.037488,            0.038676,             0.33715,             0.34286,             0.32915,             0.13184,            0.040021,            0.044373,            0.036918,           0.0015247,           0.0015247,            0.086025
                  12,            0.044583,            0.041317,            0.030675,             0.33874,             0.34998,              0.3406,             0.14039,             0.03946,            0.043039,            0.034859,           0.0016474,           0.0016474,            0.084847
                  13,            0.042543,            0.039544,             0.02831,             0.34015,             0.35522,             0.34942,             0.14558,             0.03896,             0.04235,            0.033791,           0.0017689,           0.0017689,            0.083669
                  14,            0.038804,             0.02141,             0.01774,             0.34412,             0.36228,             0.36088,             0.15683,            0.037779,            0.041452,            0.032367,            0.001889,            0.001889,            0.082489
                  15,            0.040045,            0.042265,            0.021769,             0.35619,             0.36298,             0.37617,             0.16802,             0.03686,            0.040404,            0.030776,           0.0020076,           0.0020076,            0.081308
                  16,            0.038793,             0.04066,            0.041637,             0.35584,             0.36688,             0.38205,             0.17498,            0.036307,            0.040085,            0.029348,           0.0021246,           0.0021246,            0.080125
                  17,            0.038586,            0.027504,            0.019293,             0.36609,             0.36404,             0.39276,              0.1824,            0.035846,            0.039678,            0.027972,             0.00224,             0.00224,             0.07894
                  18,            0.042119,            0.046395,            0.022533,              0.3495,             0.38459,              0.3948,             0.18595,            0.035364,            0.039347,            0.026578,           0.0023537,           0.0023537,            0.077754
                  19,            0.036924,            0.033179,            0.025864,             0.35375,             0.38319,             0.40401,             0.19286,            0.035267,            0.038849,            0.024602,           0.0024656,           0.0024656,            0.076566
                  20,            0.039001,            0.045727,            0.021582,             0.35686,             0.38379,             0.41336,             0.20089,            0.034764,            0.038412,            0.023337,           0.0025755,           0.0025755,            0.075375
                  21,            0.035166,            0.031564,            0.021257,             0.35941,             0.38363,             0.41896,             0.20698,            0.034344,            0.038369,            0.022809,           0.0026834,           0.0026834,            0.074183
                  22,            0.039068,            0.037399,            0.021864,             0.27069,             0.62719,             0.42826,              0.2149,            0.034116,            0.037944,             0.02166,           0.0027892,           0.0027892,            0.072989
